Version        base     unroll4     unroll8       cblas
    gcc	  17556.143   33551.812   25948.956   13401.355
  clang	  45263.179   38322.977   46142.348   13645.478
    icc	  50461.713   44837.971   38671.186   55177.932
    icx	  50085.476   44832.704   22673.903   53988.583
