Version	ijk	ikj	iex	unroll4	unroll8	cblas
gcc	     41.426	     44.588	     51.667	     61.988	     33.146	    448.886
clang	     30.861	     29.583	     33.378	     34.222	     17.979	    449.110
icc	     21.215	     21.380	     25.304	     23.310	     12.257	   2141.089
icx	     47.459	     46.848	     61.232	     81.714	     45.861	   2061.103
