Version	ijk	ikj	iex	unroll4	unroll8	cblas
gcc	     41.404	     44.736	     51.717	     61.018	     34.324	    453.276
clang	     47.285	     47.153	     61.565	     81.494	     45.681	    454.595
icc	     38.869	     39.895	     49.843	     61.541	     34.087	   2154.253
icx	     47.388	     47.763	     61.815	     81.567	     45.792	   2258.788
