Version        base     unroll4     unroll8       cblas
    gcc	   8954.094   36016.387   24274.159   34260.137
  clang	   8981.362   36795.690   24321.005   35007.456
    icc	  71660.715   70572.850   47993.176   71353.499
    icx	  71804.416   48564.584   24125.770   69173.248
