Version        base     unroll4     unroll8       cblas
    gcc	   3954.843    7442.920    7937.881    8661.266
  clang	   3854.491    8574.341    7974.503    8643.448
    icc	   3851.450    8355.233    7719.095  190415.082
    icx	   3868.487    8396.428    7970.386  199867.046
